#            configname    selected           comp(a)    formation_energy    clex(formation_energy)    hull_dist(ALL,comp)    clex_hull_dist(ALL,comp)        comp_n(Na)
    SCEL1_1_1_1_0_0_0/43          1        0.50000000         0.06501013                 0.03715764             0.53583410                  0.41696709        5.00000000
    SCEL1_1_1_1_0_0_0/44          1        0.50000000         -0.00937604                0.02255200             0.46144793                  0.40236145        5.00000000
    SCEL1_1_1_1_0_0_0/45          1        0.50000000         -0.02550895                -0.04371120            0.44531502                  0.33609825        5.00000000
    SCEL1_1_1_1_0_0_0/46          1        0.50000000         -0.05563186                -0.04105059            0.41519211                  0.33875886        5.00000000
    SCEL1_1_1_1_0_0_0/47          1        0.50000000         -0.04908078                -0.06791421            0.42174319                  0.31189525        5.00000000
    SCEL1_1_1_1_0_0_0/48          1        0.50000000         -0.11013034                -0.12775322            0.36069363                  0.25205623        5.00000000
    SCEL1_1_1_1_0_0_0/49          1        0.50000000         -0.07606650                -0.08271584            0.39475747                  0.29709361        5.00000000
    SCEL1_1_1_1_0_0_0/51          1        0.50000000         0.64645932                 0.59009779             1.11728329                  0.96990724        5.00000000
    SCEL1_1_1_1_0_0_0/52          1        0.50000000         -0.02888628                -0.04212452            0.44193769                  0.33768494        5.00000000
    SCEL1_1_1_1_0_0_0/53          1        0.50000000         0.47259487                 0.47100752             0.94341884                  0.85081697        5.00000000
    SCEL1_1_1_1_0_0_0/54          1        0.50000000         -0.00723589                -0.02820409            0.46358808                  0.35160536        5.00000000
    SCEL1_1_1_1_0_0_0/55          1        0.50000000         0.00001689                 0.02335569             0.47084086                  0.40316514        5.00000000
    SCEL1_1_1_1_0_0_0/56          1        0.50000000         -0.01462207                -0.01719680            0.45620190                  0.36261265        5.00000000
    SCEL1_1_1_1_0_0_0/57          1        0.50000000         -0.04300301                -0.00322137            0.42782096                  0.37658808        5.00000000
    SCEL1_1_1_1_0_0_0/58          1        0.50000000         0.06576847                 0.04230763             0.53659244                  0.42211708        5.00000000
    SCEL1_1_1_1_0_0_0/59          1        0.50000000         -0.17628834                -0.16519993            0.29453563                  0.21460952        5.00000000
    SCEL1_1_1_1_0_0_0/60          1        0.50000000         -0.27732171                -0.22488959            0.19350226                  0.15491987        5.00000000
    SCEL1_1_1_1_0_0_0/63          1        0.50000000         0.31723918                 0.38537882             0.78806315                  0.76518827        5.00000000
    SCEL1_1_1_1_0_0_0/64          1        0.50000000         -0.09764826                -0.11383279            0.37317571                  0.26597666        5.00000000
